order_id,order_date,customer_id,customer_name,email,city,state,product_id,product_name,category,price,quantity,payment_method,order_status
1610,2025-08-02,C272,Vincent Carey,tanner84@example.com,Charlesbury,Missouri,P103,Nike Shoes,Fashion,5000,5,Debit Card,Delivered
2413,2025-08-06,C125,Angelica Delgado,benjaminhoward@example.com,West Teresa,North Carolina,P104,Levi's Jeans,Fashion,3000,3,UPI,Delivered
2699,2026-01-22,C399,Rhonda Case,tiffanymartin@example.net,Ginatown,Utah,P103,Nike Shoes,Fashion,5000,4,UPI,Returned
2070,2025-12-08,C154,Todd Dorsey,ortizjames@example.org,South Lauraton,California,P105,Dining Table,Furniture,20000,5,UPI,Cancelled
2177,2026-01-08,C215,Jessica Jones,lesliewilson@example.net,Port Taylorside,Hawaii,P103,Nike Shoes,Fashion,5000,5,Net Banking,Delivered
2873,2025-12-07,C140,Shannon Pham,sspence@example.net,New Garychester,Vermont,P106,Office Chair,Furniture,7000,4,COD,Cancelled
2920,2025-12-22,C291,Diane Kelley,kjarvis@example.org,New Tiffany,Missouri,P106,Office Chair,Furniture,7000,4,Debit Card,Delivered
2040,2025-06-16,C350,Joshua Rodgers,brownamy@example.net,Jeremychester,North Dakota,P105,Dining Table,Furniture,20000,4,UPI,Delivered
2476,2025-10-29,C375,Susan Ortega,ipage@example.com,South Kimberlyfurt,New Jersey,P103,Nike Shoes,Fashion,5000,3,UPI,Cancelled
2641,2025-10-27,C280,Cindy Anthony,vpeterson@example.org,Munozborough,Washington,P103,Nike Shoes,Fashion,5000,3,Credit Card,Returned
1548,2025-11-04,C282,Ashlee Rodriguez,bendereric@example.org,North James,New Jersey,P104,Levi's Jeans,Fashion,3000,4,Net Banking,Delivered
2045,2025-12-10,C476,Patrick Edwards,brianna52@example.com,North Donaldmouth,South Dakota,P102,Samsung TV,Electronics,60000,3,Net Banking,Cancelled
1556,2025-09-04,C432,Jennifer Patel,milleralexandra@example.org,New Ryan,Virginia,P101,iPhone 15,Electronics,80000,3,Net Banking,Delivered
2640,2025-08-02,C458,Robert Hill,greenkelsey@example.net,Holtside,Indiana,P106,Office Chair,Furniture,7000,2,COD,Delivered
1806,2025-10-23,C319,Erika Castillo,belinda75@example.com,North Kelly,South Dakota,P105,Dining Table,Furniture,20000,2,Debit Card,Returned
1790,2025-11-28,C243,Eric Levine,joseph62@example.net,Randyview,Alaska,P104,Levi's Jeans,Fashion,3000,1,Debit Card,Returned
1857,2025-08-29,C482,Gina Williams,michelle54@example.com,Heidiport,Nebraska,P105,Dining Table,Furniture,20000,1,COD,Cancelled
